ID_REF,log2FC,pvalue,padj
2315554,-0.028334977728059468,0.38160877352879485,
2315633,-0.01378338831291935,0.4295094621107499,
2315674,-0.03025994751150965,0.2806458702887126,
2315739,-0.004570042993602238,0.8112797991365281,
2315894,-0.007222109915157892,0.823439964243992,
2315918,0.020361489095439122,0.7695095271079053,
2315951,0.004724599033635241,0.8449222357538679,
2316218,-0.05256617925685348,0.3651102317226057,
2316245,0.004157489729377552,0.7687487230677219,
2316379,-0.008702138119369752,0.6483213130140768,
2316558,0.004636424989508564,0.7361607907194545,
2316605,-0.008442573978098986,0.6952555599224235,
2316746,-0.0012963333347843344,0.9341795846575172,
2316905,-0.00968877978067302,0.8096793299068583,
2316953,-0.003778132697377931,0.9036133504645081,
2317246,-0.005452849746347124,0.854258360891536,
2317317,-0.003874159773741087,0.8864312334087651,
2317434,0.00986214074625849,0.41419304336710094,
2317472,-0.020340406588752174,0.5118512195658036,
2317512,-0.007022348190936602,0.6275323214548628,
2317686,0.026349210797903026,0.3474767030150182,
2318086,0.02245849767582865,0.1352041678396007,
2318157,-0.03799868010589627,0.27088299671545524,
2318170,-0.021938653473697934,0.4373355433579176,
2318212,-0.0216999505499348,0.584556518140201,
2318242,-0.03343184013879447,0.32858179574159996,
2318257,0.03011681782360617,0.33921082628375376,
2318338,-0.025042553199841278,0.40831534998387387,
2318364,0.002631851143108241,0.9006103979534787,
2318398,0.02838152890273891,0.06173692689153873,
2318416,-0.022611053106168056,0.6038586312846854,
2318455,-0.00017357513362015065,0.9955988802410273,
2318637,0.005473853436366574,0.8076033721146378,
2318656,-0.01740657090842503,0.5405774275213852,
2318736,0.024650391809403076,0.31848748502578733,
2318743,0.03058266560897789,0.2687843277245552,
2318744,0.011154157077672651,0.582759689821436,
2318746,0.0044283141718758105,0.7605381573964103,
2318747,0.003868955242139627,0.8855686471991966,
2318751,0.025539261118132515,0.47030076389184117,
2318754,0.013051886419681694,0.7199806145008247,
2318755,0.0744376883952709,0.34877664616489323,
2318759,-0.03256189810909995,0.6802650937892047,
2318761,-0.014392409173922606,0.9123817089918081,
2318763,0.009017830363328963,0.8585860294892538,
2318765,0.01961577723209904,0.28269240747909286,
2318767,0.08236892250224738,0.2828073660526996,
2318769,0.006201297590488365,0.9406662864126671,
2318771,-0.05075919305237329,0.6558336784879482,
2318773,-0.0352323070801963,0.7679290139225969,
2318775,0.02543954328434609,0.4148192795576947,
2318777,0.03616843799724148,0.792185558523249,
2318779,-0.0056880806563793795,0.9241866963712837,
2318781,0.045011444107658304,0.3730516626739534,
2318783,0.05456723322017324,0.587840106552663,
2318785,0.011845398749067723,0.9269851257493825,
2318787,0.052218098103551526,0.3176367891933453,
2318789,-0.25045297186339655,0.4424241209716615,
2318791,-0.003281788167509924,0.9628942341273086,
2318793,-0.048144140093753604,0.7059369736800134,
2318795,-0.05072952033515246,0.3269274296144641,
2318797,0.0024960531301730033,0.9307660757907884,
2318799,0.00029277342777406695,0.9860485115564279,
2318801,-0.0029925841758365267,0.9760411008451462,
2318803,0.008541479868097493,0.2371288053920692,
2318805,0.03019338792764124,0.6184098299199978,
2318807,-0.10809469982933718,0.19555214319640193,
2318809,0.04374501741784531,0.6006239890063105,
2318811,0.008831694588784349,0.8911011244791989,
2318813,0.015950910440345387,0.8010109921719673,
2318815,-0.03077108192520923,0.11874377163682075,
2318817,-0.0007197330729130209,0.9766127447796416,
2318819,-0.04129711773323287,0.6483025009836658,
2318821,0.011528846508922557,0.8036987375144607,
2318823,-0.00028228667020748177,0.9909493236088196,
2318825,-0.1061317965819588,0.3449021442726107,
2318827,-0.04492711860976732,0.7641958535060434,
2318829,0.0388399492756257,0.6742154558629336,
2318831,-0.010432948277314944,0.8516096014682121,
2318833,-0.01949837584065967,0.35860017327236726,
2318835,0.007795282849422574,0.6501782930336907,
2318837,-0.18148983555962012,0.17256072712261178,
2318839,-0.12810173414454587,0.3068022292418057,
2318841,-0.00859451683995702,0.8404859572833684,
2318843,0.07618484209210917,0.46029243514660256,
2318845,-0.017463464180086936,0.5629602693136165,
2318847,-0.029470811529220053,0.6830999179892006,
2318849,0.048015634375310146,0.5623197745448361,
2318851,-0.019293099860593948,0.23035964488594887,
2318853,0.015348063409765871,0.16837452020376878,
2318855,-0.0716390486102878,0.33882430546426545,
2318857,-0.013615167583594564,0.718558898225198,
2318859,-0.019093094075759348,0.6460260565891434,
2318861,-0.021108618491200434,0.6048141046941216,
2318863,0.04114254748814126,0.5751632260149018,
2318865,-0.03417799257282473,0.6067591263241812,
2318867,0.006383290723041533,0.9038595713416591,
2318869,-0.02738422371747385,0.7616229757236365,
2319135,-0.033423578279023175,0.31727447415893145,
2319225,-0.00165848874826935,0.9438204078087172,
2319252,-0.009577555290761333,0.6314012391549595,
2319340,0.09511048013391368,0.4933103131446215,
2319423,0.004136463576171414,0.742842315043861,
2319518,0.05375253244026532,0.14576981918123022,
2319550,-0.007755869539270793,0.8339870744998581,
2319560,-0.009106862731103525,0.6099887454957447,
2319661,0.05330754501507048,0.1842375200753488,
2319802,0.01657407938209917,0.17657340818759282,
2319832,-0.009366674469762444,0.5928068295031188,
2319881,0.002745579288257514,0.8502283835115718,
2320048,-0.001577298086654115,0.9479464495786389,
2320051,0.002289381875237696,0.8422050982504254,
2320052,0.03151872152742629,0.5253008969557463,
2320058,0.04698663385936056,0.19780408806139124,
2320059,0.011233014899039549,0.6791748614838229,
2320060,-0.006087871445137382,0.6522416748202085,
2320062,0.014725105416491052,0.30155266833883476,
2320063,0.029489178483636556,0.6744829867614792,
2320064,0.01392812184276102,0.8069165210541751,
2320065,-0.0005030875545671434,0.9877082820942027,
2320066,0.003525206800365708,0.7495809734045966,
