ID_REF,log2FC,pvalue,padj
2315554,-0.11952329545454621,0.38160877352879485,
2315633,-0.06772829545454506,0.4295094621107499,
2315674,-0.12878374999999842,0.2806458702887126,
2315739,-0.02093613636363667,0.8112797991365281,
2315894,-0.040832727272727354,0.823439964243992,
2315918,0.06783693181818062,0.7695095271079053,
2315951,0.023308295454543604,0.8449222357538679,
2316218,-0.19138284090909252,0.3651102317226057,
2316245,0.021020795454544938,0.7687487230677219,
2316379,-0.04845056818181703,0.6483213130140768,
2316558,0.028855340909091254,0.7361607907194545,
2316605,-0.037356249999999314,0.6952555599224235,
2316746,-0.006531590909088614,0.9341795846575172,
2316905,-0.03439045454545564,0.8096793299068583,
2316953,-0.014696931818182435,0.9036133504645081,
2317246,-0.022229659090909237,0.854258360891536,
2317317,-0.016356704545454015,0.8864312334087651,
2317434,0.058013522727272004,0.41419304336710094,
2317472,-0.07844602272727386,0.5118512195658036,
2317512,-0.031334659090909156,0.6275323214548628,
2317686,0.08343579545454638,0.3474767030150182,
2318086,0.14460727272727425,0.1352041678396007,
2318157,-0.15521909090909158,0.27088299671545524,
2318170,-0.08875136363636393,0.4373355433579176,
2318212,-0.07007022727272805,0.584556518140201,
2318242,-0.15553545454545592,0.32858179574159996,
2318257,0.12950499999999998,0.33921082628375376,
2318338,-0.08974784090908994,0.40831534998387387,
2318364,0.012413522727274362,0.9006103979534787,
2318398,0.13290318181818161,0.06173692689153873,
2318416,-0.07476818181818246,0.6038586312846854,
2318455,-0.0005645454545453177,0.9955988802410273,
2318637,0.035030227272731196,0.8076033721146378,
2318656,-0.06630045454545375,0.5405774275213852,
2318736,0.13074715909090884,0.31848748502578733,
2318743,0.16812431818181928,0.2687843277245552,
2318744,0.07804977272726887,0.582759689821436,
2318746,0.030395000000000394,0.7605381573964103,
2318747,0.02451784090909115,0.8855686471991966,
2318751,0.13909784090909216,0.47030076389184117,
2318754,0.07776238636363608,0.7199806145008247,
2318755,0.24423045454545367,0.34877664616489323,
2318759,-0.08370727272727319,0.6802650937892047,
2318761,-0.03649556818181798,0.9123817089918081,
2318763,0.028930681818182258,0.8585860294892538,
2318765,0.1437102272727273,0.28269240747909286,
2318767,0.1912231818181822,0.2828073660526996,
2318769,0.016916931818181435,0.9406662864126671,
2318771,-0.09485295454545417,0.6558336784879482,
2318773,-0.05539693181818173,0.7679290139225969,
2318775,0.12090431818181724,0.4148192795576947,
2318777,0.06978522727272729,0.792185558523249,
2318779,-0.020857159090908794,0.9241866963712837,
2318781,0.15667568181818226,0.3730516626739534,
2318783,0.18322943181818108,0.587840106552663,
2318785,0.029340113636363796,0.9269851257493825,
2318787,0.1745906818181826,0.3176367891933453,
2318789,-0.3353005909090909,0.4424241209716615,
2318791,-0.011059659090909335,0.9628942341273086,
2318793,-0.13833738636363702,0.7059369736800134,
2318795,-0.17488704545454592,0.3269274296144641,
2318797,0.013580568181817299,0.9307660757907884,
2318799,0.0015656818181826182,0.9860485115564279,
2318801,-0.007597840909091325,0.9760411008451462,
2318803,0.07540227272727229,0.2371288053920692,
2318805,0.10249874999999964,0.6184098299199978,
